,month,year,totals,date
0,01,2015,1763233,2015-01-01
6,02,2015,1848308,2015-02-01
12,03,2015,2001245,2015-03-01
18,04,2015,1697737,2015-04-01
23,05,2015,1570893,2015-05-01
28,06,2015,1518852,2015-06-01
33,07,2015,1589462,2015-07-01
38,08,2015,1735911,2015-08-01
43,09,2015,1786743,2015-09-01
48,10,2015,1969248,2015-10-01
53,11,2015,2236457,2015-11-01
58,12,2015,3308199,2015-12-01
1,01,2016,2540146,2016-01-01
7,02,2016,2604667,2016-02-01
13,03,2016,2509065,2016-03-01
19,04,2016,2135909,2016-04-01
24,05,2016,1860699,2016-05-01
29,06,2016,2123334,2016-06-01
34,07,2016,2187190,2016-07-01
39,08,2016,1836788,2016-08-01
44,09,2016,1983596,2016-09-01
49,10,2016,2326517,2016-10-01
54,11,2016,2554486,2016-11-01
59,12,2016,2763115,2016-12-01
2,01,2017,2032108,2017-01-01
8,02,2017,2224394,2017-02-01
14,03,2017,2422749,2017-03-01
20,04,2017,2037180,2017-04-01
25,05,2017,1898840,2017-05-01
30,06,2017,1888266,2017-06-01
35,07,2017,1733308,2017-07-01
40,08,2017,1896457,2017-08-01
45,09,2017,1857226,2017-09-01
50,10,2017,2017017,2017-10-01
55,11,2017,2372888,2017-11-01
60,12,2017,2575486,2017-12-01
3,01,2018,1996721,2018-01-01
9,02,2018,2293373,2018-02-01
15,03,2018,2753881,2018-03-01
21,04,2018,2186119,2018-04-01
26,05,2018,1983346,2018-05-01
31,06,2018,1912838,2018-06-01
36,07,2018,1806746,2018-07-01
41,08,2018,2026309,2018-08-01
46,09,2018,1895841,2018-09-01
51,10,2018,2033276,2018-10-01
56,11,2018,2363705,2018-11-01
61,12,2018,2517286,2018-12-01
4,01,2019,2150322,2019-01-01
10,02,2019,2028667,2019-02-01
16,03,2019,2604927,2019-03-01
22,04,2019,2305136,2019-04-01
27,05,2019,2320918,2019-05-01
32,06,2019,2291066,2019-06-01
37,07,2019,2004277,2019-07-01
42,08,2019,2341363,2019-08-01
47,09,2019,2189028,2019-09-01
52,10,2019,2327252,2019-10-01
57,11,2019,2545863,2019-11-01
62,12,2019,2898501,2019-12-01
5,01,2020,2652263,2020-01-01
11,02,2020,2776380,2020-02-01
17,03,2020,3709562,2020-03-01
